Số ĐKKD/MST,Tên công ty,Địa chỉ,Ngày thành lập,Ngày hoạt động,Trạng thái,Điện thoại,Người đại diện,Loại hình DN,Cập nhật lần cuối
0313238811-001,CHI NHÁNH CÔNG TY TNHH PHÚC THỊNH PRINTING,"123A Ấp 4, Xã Tân Bửu, Huyện Bến Lức, Long An",21/06/2024,21/06/2024,Đang Hoạt Động,0918765416,Nguyễn Thanh Liêm,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 21/06/2024."
1102061067,CÔNG TY TNHH TM DV XNK MERCURY LUSH,"Số 76A Ấp 4, Xã Mỹ Yên, Huyện Bến Lức, Long An",19/06/2024,19/06/2024,Đang Hoạt Động,0901893668,Nguyễn Tuyết Nhung,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 19/06/2024."
1102061116,CÔNG TY TNHH MTV PHÂN BÓN VIỆT NAM,"Số 99, Ấp 1A, Xã Thanh Phú, Huyện Bến Lức, Long An",19/06/2024,19/06/2024,Đang Hoạt Động,0914 445 733,Nguyễn Văn Tam,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 19/06/2024."
1102061003,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI HÓA MỸ PHẨM TÂN ĐẠI QUANG,"B7, Ấp 7A, Xã Mỹ Yên, Huyện Bến Lức, Long An",18/06/2024,18/06/2024,Đang Hoạt Động,0917 269 264,Nhan Minh Quang,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 18/06/2024."
0318517456,CÔNG TY TNHH XUẤT NHẬP KHẨU THƯƠNG MẠI VĨNH HƯNG PHÁT,"Thửa Đất Số: 1054, Tờ Bản Đồ Số: 7, Ấp 5, Xã Mỹ Yên, Huyện Bến Lức, Long An",18/06/2024,18/06/2024,Đang Hoạt Động,0902780328,Đặng Văn Thành Nghĩa,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 16/09/2024."
1102061028,CÔNG TY TNHH DỊCH VỤ BẢO VỆ TẬP ĐOÀN YUKI VN,"Thửa Đất Số 705, Tờ Bản Đồ Số 10, Ấp 5, Xã Nhựt Chánh, Huyện Bến Lức, Long An",18/06/2024,18/06/2024,Đang Hoạt Động,0938247838,Lê Chí Thạnh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 27/06/2024."
1102060786,CÔNG TY TNHH LONG PHÚ HOLDING,"Lô Số A1-05 Dự Án Long Phú, Quốc Lộ 1A, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",17/06/2024,17/06/2024,Đang Hoạt Động,0918763439,Hoàng Đức Việt,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 17/06/2024."
1102060810,CÔNG TY TNHH XÂY DỰNG LÊ TRÍ LỘC,"Số Nhà 78 F3 B, Đường Bờ Cua, Xã Phước Lợi, Huyện Bến Lức, Long An",17/06/2024,17/06/2024,Đang Hoạt Động,02728912141,Lê Văn Lai,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 17/06/2024."
1102060909,CÔNG TY TNHH TLA EXPRESS,"Số 143 Đường 09 Kdc Nam Long, Ấp 4, Xã An Thạnh, Huyện Bến Lức, Long An",17/06/2024,17/06/2024,Đang Hoạt Động,0975779603,Hồ Quốc Huy,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 12/07/2024."
1102060803,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TÂN ĐẠT THÔNG,"95/1 Tỉnh Lộ 830, Ấp 3, Xã An Thạnh, Huyện Bến Lức, Long An",17/06/2024,17/06/2024,Đang Hoạt Động,02723634343,Huỳnh Thiện An,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 23/09/2024."
1102060698,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG PHÁT TRIỂN THỊNH PHÁT,"39 A Nguyễn Hữu Trí, Xã Tân Bửu, Huyện Bến Lức, Long An",14/06/2024,22/06/2024,Đang Hoạt Động,0936346768,Phạm Thị Nguyệt,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 16/07/2024."
1102060521,CÔNG TY TNHH TMDV VẬN CHUYỂN VƯỢNG PHÁT,"64 Nguyễn Trung Trực, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",14/06/2024,14/06/2024,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0325797354,Trần Đình Trung,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 15/07/2024."
1102060754,CÔNG TY TNHH KIM AN LONG,"277D Đường Phan Văn Mảng, Khu Phố 9, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",14/06/2024,14/06/2024,Đang Hoạt Động,0987 019 135,Phạm Thị Hằng Hải,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 30/09/2024."
1700789335-002,CHI NHÁNH CÔNG TY TNHH HƯNG THÀNH,"78A Quốc Lộ 1, Xã Long Hiệp, Huyện Bến Lức, Long An",14/06/2024,14/06/2024,Đang Hoạt Động,02973847703,Đặng Thành Tài,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 14/06/2024."
0300757288-001,CÔNG TY TRÁCH NHIỆM HỮU HẠN ĐẠI TÂN CHI NHÁNH LONG AN,"Lô B15-1, B16-1, B17-1, B18-2, B19-2, B20-2, B21-1, Đường Ng, Xã An Thạnh, Huyện Bến Lức, Long An",13/06/2024,13/06/2024,Đang Hoạt Động,02837701207,"Liu, Chia - Yuan",Công Ty TNHH MTV Đầu Tư Nước Ngoài,"Cập nhật lần cuối
ngày 16/09/2024."
1101793808-003,CHI NHÁNH II - CÔNG TY TNHH HUỲNH TUẤN PHÁT,"Thửa Đất Số 688 Và 689 Tờ Bản Đồ Số 8,Tỉnh Lộ 816, Ấp 5, Xã Thạnh Đức, Huyện Bến Lức, Long An",11/06/2024,01/06/2024,Đang Hoạt Động,02726598628,Huỳnh Thị Thúy,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/07/2024."
1102060338,CÔNG TY TNHH XÂY DỰNG THIÊN NHẬT CONS,"Số 168, Lô 2, Ấp 2, Xã Mỹ Yên, Huyện Bến Lức, Long An",11/06/2024,11/06/2024,Đang Hoạt Động,0909888027,Lê Thanh Dự,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 11/06/2024."
1102060169,CÔNG TY TNHH XUẤT NHẬP KHẨU SUNSHINE LIFE VIỆT NAM,"Thửa Đất Số 291, Tbđ Số 29, Ấp 2,, Xã Mỹ Yên, Huyện Bến Lức, Long An",11/06/2024,11/06/2024,Đang Hoạt Động,0908440590,Phạm Nhựt Tiến,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 11/06/2024."
1102060289,CÔNG TY TNHH TRIỆU PHÚ 68,"Số 160B, Ấp Chánh, Xã Long Hiệp, Huyện Bến Lức, Long An",11/06/2024,11/06/2024,Đang Hoạt Động,0937738411,Nguyễn Thị Kiều Nga,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 11/06/2024."
1102060024,CÔNG TY TNHH TM DV VẬN TẢI VẠN THÀNH PHÁT,"Số 247 Đường Tl 832, Ấp 5, Xã Nhựt Chánh, Huyện Bến Lức, Long An",10/06/2024,10/06/2024,Đang Hoạt Động,0986 666 500,Nguyễn Thị Mỹ Linh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/06/2024."
1102059935,CÔNG TY TNHH NHỰA BAO BÌ HUYỀN TRANG,"76 Quốc Lộ 1A, Xã Mỹ Yên, Huyện Bến Lức, Long An",10/06/2024,10/06/2024,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0899579045,Trần Huyền Trang,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 13/08/2024."
1102059928,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TƯ VẤN ĐẦU TƯ XUẤT NHẬP KHẨU LÊ THANH,"65/1 Đường Nguyễn Trung Trực, Khu Phố 8, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",10/06/2024,10/06/2024,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0936510971,Lê Thanh Tiền,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 05/08/2024."
1102059766,CÔNG TY TNHH TM DV NGUYỄN THUẬN,"182 Ấp 2, Xã Thạnh Hòa, Huyện Bến Lức, Long An",07/06/2024,07/06/2024,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0776700509,Nguyễn Văn Thuận,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 01/10/2024."
1102059780,CÔNG TY TNHH MTV HƯNG HUY VIỆT PHÁT,"Số 352A, Quốc Lộ 1, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",07/06/2024,07/06/2024,Đang Hoạt Động,0826175826,Nguyễn Văn Việt,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 07/06/2024."
0304701430-008,CHI NHÁNH 3 - CÔNG TY CỔ PHẦN DỆT TQT,"Lô H3A, Đường Số 1, Kcn Phúc Long, Xã Long Hiệp, Huyện Bến Lức, Long An",07/06/2024,07/06/2024,Đang Hoạt Động,N/A,Tất Diệu Hoa,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 08/06/2024."
1102059741,CÔNG TY TNHH TM DV CƠ KHÍ LÊ ĐƯỢC,"Số 101, Ấp 4, Xã Thanh Phú, Huyện Bến Lức, Long An",07/06/2024,07/06/2024,Đang Hoạt Động,0907033984,Lê Được,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/06/2024."
1102059685,CÔNG TY TNHH VIETNAM WIN TEXTILES,"Nhà Xưởng G1, Lô A1-20, Đường Vl2, Kcn Vĩnh Lộc 2, Ấp Voi Lá, Xã Long Hiệp, Huyện Bến Lức, Long An",07/06/2024,07/06/2024,Đang Hoạt Động,0942055915,"Li, Junqi",Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 24/07/2024."
1102059519,CÔNG TY TNHH DOK FOODS,"Lô E32, Kdc Gò Đen, Ấp 4, Xã Phước Lợi, Huyện Bến Lức, Long An",06/06/2024,06/06/2024,Đang Hoạt Động,0704631375,Đỗ Đình Khang,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 05/08/2024."
1102059526,CÔNG TY TNHH SẢN XUẤT KINH DOANH VÀNG KIM BẢO,"Lô F16, Kdc Gò Đen, Ấp 4, Xã Phước Lợi, Huyện Bến Lức, Long An",06/06/2024,06/06/2024,Đang Hoạt Động,0934334989,Nguyễn Thị Phương Mai,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 06/06/2024."
1102059572,CÔNG TY TNHH TM DV XÂY DỰNG LÊ HÙNG,"279 Đường 816, Ấp 6, Xã Thạnh Lợi, Huyện Bến Lức, Long An",06/06/2024,06/06/2024,Tạm Nghỉ Kinh Doanh Có Thời Hạn,0776784663,Lê Mạnh Hùng,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 05/10/2024."
1102059540,CÔNG TY TNHH STARRY GROUP VIETNAM,"Lô D11-5, D12-1, D13-1, D13-2, Đường Dọc 2, Kcn Phú An Thạnh, Xã An Thạnh, Huyện Bến Lức, Long An",06/06/2024,06/06/2024,Đang Hoạt Động,0914390676,Brian Dlugash,Công Ty TNHH MTV Đầu Tư Nước Ngoài,"Cập nhật lần cuối
ngày 22/08/2024."
1102059413,CÔNG TY CỔ PHẦN NHÀ MÁY SẢN XUẤT THỰC PHẨM A-STAR,"Số B5 - 26 Nguyễn Văn Tuôi, Khu Đô Thị Trần Anh Riverside 1, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",05/06/2024,05/06/2024,Đang Hoạt Động,0917732274,Hồ Trọng Tạo,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 05/06/2024."
1101953699-001,CHI NHÁNH CÔNG TY CỔ PHẦN LƯỚI BẢO NÔNG,"Thửa Số 73, 78, Tờ Bđ Số 4, Đt830, Ấp 3, Xã Lương Bình, Huyện Bến Lức, Long An",05/06/2024,05/06/2024,Đang Hoạt Động,0344 983 137,Zeng Xian Rong,Công Ty Cổ Phần Có Vốn ĐTNN Từ 51% Trở Lên,"Cập nhật lần cuối
ngày 07/06/2024."
1102059420,CÔNG TY TNHH MỘT THÀNH VIÊN CAO KHÁ,"Số 85 Ấp 1, Xã Nhựt Chánh, Huyện Bến Lức, Long An",05/06/2024,05/06/2024,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0825224860,Cao Văn Khá,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 30/09/2024."
1102059149,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN VÀ DỊCH VỤ TỔNG HỢP TRƯỜNG SƠN,"279 Đường 816, Ấp 6, Xã Thạnh Lợi, Huyện Bến Lức, Long An",05/06/2024,05/06/2024,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0776603397,Lã Trường Sơn,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 30/09/2024."
1102059325,CÔNG TY TNHH KINH DOANH THƯƠNG MẠI PHÁT TRIỂN DỊCH VỤ MINH PHÁT,"N2, Block A5-02 Khu Dân Cư Thương Mại Dịch Vụ Trần Anh River, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",05/06/2024,05/06/2024,Đang Hoạt Động,0783104295,Chu Hải Quỳnh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 05/06/2024."
1102059357,CÔNG TY TNHH KINH DOANH TM DV THÉP TRƯỜNG THỌ,"Thửa Đất Số 217, Tờ Bản Đồ Số 61, Ấp 1, Xã Thạnh Lợi, Huyện Bến Lức, Long An",05/06/2024,05/06/2024,Đang Hoạt Động,0965542403,Trần Văn Công,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 16/07/2024."
1102058988,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI QUỐC THỐNG,"Số 200 Đt 835 Ấp 4, Xã Phước Lợi, Huyện Bến Lức, Long An",03/06/2024,03/06/2024,Đang Hoạt Động,0869 011 930,Bùi Quốc Thống,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 03/06/2024."
1102059075,CÔNG TY TNHH QUẢN LÝ CHUỖI CUNG ỨNG SED,"Thửa Đất 1209, Kho Số 4, Ấp 4, Xã Thạnh Lợi, Huyện Bến Lức, Long An",03/06/2024,03/06/2024,Đang Hoạt Động,02723632928,Ngô Ty Na,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 27/09/2024."
1102058762,CÔNG TY TNHH PARA,"39 Đường D7, Rivera 1, Kdc Waterpoint, Xã An Thạnh, Huyện Bến Lức, Long An",29/05/2024,29/05/2024,Đang Hoạt Động,0909627578,Kiều Thị Kim Thương,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 14/06/2024."
1102058762,CÔNG TY TNHH PARA,"39 Đường D7, Rivera 1, Kdc Waterpoint, Xã An Thạnh, Huyện Bến Lức, Long An",29/05/2024,29/05/2024,Đang Hoạt Động,0909627578,Kiều Thị Kim Thương,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 14/06/2024."
1102058723,CÔNG TY TNHH QUANG NHẬT SMARTHOME,"Số 158 � H11 � Aquaria � Water Point, Xã An Thạnh, Huyện Bến Lức, Long An",28/05/2024,28/05/2024,Đang Hoạt Động,083 853 7778,Võ Nguyễn Phương Nga,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 10/10/2024."
1102058667,CÔNG TY TNHH GỐM LONG AN,"135, Đường Số 9, Kdc Đường 10, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",28/05/2024,28/05/2024,Đang Hoạt Động,0911217166,Lê Văn Thiện,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/06/2024."
1102058699,CÔNG TY TNHH MỘT THÀNH VIÊN PET HOÀNG TẤN,"Thửa Đất Số 544, Tờ Bản Đồ Số 5, Ấp 8, Xã Lương Hòa, Huyện Bến Lức, Long An",28/05/2024,28/05/2024,Đang Hoạt Động,02862678980,Tô Hoàng Tấn,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/06/2024."
1102058586,CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ XÂY DỰNG NAM HỒNG MINH,"Số 53, Đường Số 6, Khu Phố 2, Kdc Mai Thị Non, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",27/05/2024,27/05/2024,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0932245683,Nguyễn Hồng Minh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 05/08/2024."
1102058441,CÔNG TY TNHH THI CÔNG XÂY DỰNG GIAO THÔNG VÀ THỦY LỢI 722,"Số 108, Ấp Chánh, Xã Long Hiệp, Huyện Bến Lức, Long An",24/05/2024,24/05/2024,Đang Hoạt Động,0762760827,Nguyễn Văn Điệp,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 24/05/2024."
1102058459,CÔNG TY TNHH KINH DOANH SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ TẤN PHÁT TÀI,"32 Khu 2, Ấp Lò Gạch, Xã Long Hiệp, Huyện Bến Lức, Long An",24/05/2024,24/05/2024,Đang Hoạt Động,0766548414,Nguyễn Văn Tài,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 24/05/2024."
1102058434,CÔNG TY TNHH SAN LẤP VÀ THI CÔNG XÂY DỰNG GIAO THÔNG CẦU ĐƯỜNG TUẤN HÒA PHÁT,"328B, Khu 4, Ấp Chánh, Xã Long Hiệp, Huyện Bến Lức, Long An",24/05/2024,24/05/2024,Đang Hoạt Động,0762768582,Nguyễn Thanh Tuấn,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 24/05/2024."
1102058346,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU VY NGUYÊN,"105, Đường Số 11, Khu Dân Cư Nam Long, Ấp 4, Xã An Thạnh, Huyện Bến Lức, Long An",23/05/2024,23/05/2024,Đang Hoạt Động,0815588575,Nguyễn Thị Bích Tuyền,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 10/06/2024."
1102058392,CÔNG TY TNHH PHÁT TRIỂN KINH DOANH LÂM ĐẠT HÒA,"Số 156, Ấp Phước Toàn, Xã Long Hiệp, Huyện Bến Lức, Long An",23/05/2024,23/05/2024,Đang Hoạt Động,0708553904,Nguyễn Thành Lâm,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 23/05/2024."
1102058378,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KINH DOANH TỔNG HỢP TÍNH HÒA PHÁT,"Số 80, Ấp Voi Lá, Xã Long Hiệp, Huyện Bến Lức, Long An",23/05/2024,23/05/2024,Đang Hoạt Động,0775834578,Phạm Công Tính,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 23/05/2024."
1102058064,CÔNG TY TNHH MTV SÓNG XANH,"182 Ấp 2, Xã Thạnh Hòa, Huyện Bến Lức, Long An",22/05/2024,22/05/2024,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0785853611,Chu Thanh Huy,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 09/08/2024."
0315265031-005,CÔNG TY TNHH ĐẦU TƯ KINH DOANH THANH XUÂN CHI NHÁNH 5 - KHO CHỨA HÀNG,"295 Ấp Voi Lá, Xã Long Hiệp, Huyện Bến Lức, Long An",22/05/2024,22/05/2024,Đang Hoạt Động,0949492222,Nguyễn Ngọc Thảo Nhi,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 11/06/2024."
1102058138,CÔNG TY TNHH SX TM DV PHÁT PHI,"101B, Đường Phan Văn Mãng, Khu Phố 9, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",22/05/2024,22/05/2024,Đang Hoạt Động,0913167299,Nguyễn Thị Thanh Vân,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/06/2024."
1102057991,CÔNG TY TNHH THƯƠNG MẠI GSL,"163/2 Tổ 3, Ấp 6, Xã Thạnh Đức, Huyện Bến Lức, Long An",21/05/2024,21/05/2024,Đang Hoạt Động,0382 730 105,Hoàng Thị Thu,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/06/2024."
0313917235-001,CHI NHÁNH CÔNG TY TNHH CHAFF VIỆT NAM,"Thửa Đất Số 592, Tờ Bản Đồ Số 31, Ấp 1, Xã Bình Đức, Huyện Bến Lức, Long An",20/05/2024,20/05/2024,Đang Hoạt Động,N/A,Đinh Hà Nguyên,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/06/2024."
1102057938,CÔNG TY TNHH THƯƠNG MẠI DU LỊCH WIN TRAVEL,"Số 128 Ấp 6B, Xã Lương Hòa, Huyện Bến Lức, Long An",20/05/2024,20/05/2024,Đang Hoạt Động,0844466667,Võ Minh Thắng,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 02/10/2024."
1102057769,CÔNG TY TNHH ĐẦU TƯ KINH DOANH KHANG THỊNH PHÁT,"1/6 Quốc Lộ 1A, Khu Phố 7, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",16/05/2024,16/05/2024,Đang Hoạt Động,0936 083 591,Nguyễn Thanh Lan,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 16/09/2024."
1102057617,CÔNG TY TNHH GIẢI TRÍ GAME TRỌNG PHÁT,"Số 08 Đường Số 6, Khu Dân Cư Mai Thị Non, Khu Phố 2, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",15/05/2024,15/05/2024,Đang Hoạt Động,0965049049,Trần Trọng Sĩ,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 18/09/2024."
3603287076-002,CÔNG TY TNHH MỘT THÀNH VIÊN VÕ HAN MINH - CHI NHÁNH LONG AN,"Số 288, Ấp 4, Xã Thạnh Lợi, Huyện Bến Lức, Long An",14/05/2024,14/05/2024,Đang Hoạt Động,0918 278 494,Võ Minh Trúc,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 20/05/2024."
1102057399,CÔNG TY TNHH TM DV AJV PHƯƠNG NAM,"Nhà Số 04, Đường Số 1, Kp8- Kdc Chợ Thuận Đạo, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",14/05/2024,14/05/2024,Đang Hoạt Động,0918522106,Vũ Đình Nam,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 20/05/2024."
1102057328,CÔNG TY TNHH SX - TM - DV XUẤT NHẬP KHẨU VIỆT SANG,"100A Quốc Lộ 1A, Ấp Voi Lá, Xã Long Hiệp, Huyện Bến Lức, Long An",13/05/2024,13/05/2024,Đang Hoạt Động,0985944444,Nguyễn Thị Kim Loan,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 20/05/2024."
1102057293,CÔNG TY TNHH THƯƠNG MẠI XNK KHÔI NGUYÊN,"Số 87 Đường H7, Phân Khu Rivera 1, Khu Đô Thị Waterpoint Nam, Xã An Thạnh, Huyện Bến Lức, Long An",13/05/2024,13/05/2024,Đang Hoạt Động,0921209769,Huỳnh Mỹ Tiên,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 17/06/2024."
1102057092,CÔNG TY TNHH COFFEE BONJOUR,"Số 17 Đường Số 6 Khu Dân Cư Mai Thị Non, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",09/05/2024,09/05/2024,Ngừng Hoạt Động Nhưng Chưa Hoàn Thành Thủ Tục,0945584373,Nguyễn Văn Khuê,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 19/09/2024."
1102057134,CÔNG TY TNHH NHỰA BẢO AN,"67 Ấp 1, Xã Tân Bửu, Huyện Bến Lức, Long An",09/05/2024,09/05/2024,Đang Hoạt Động,0909936077,Nguyễn Hồng Khanh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 28/05/2024."
1102057078,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI CẨM XƯƠNG,"Số 147A Quốc Lộ 1A, Ấp 1, Xã Mỹ Yên, Huyện Bến Lức, Long An",09/05/2024,09/05/2024,Đang Hoạt Động,0903 711 398,Huỳnh Nhã Thi,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 20/05/2024."
1102056973,CÔNG TY TNHH VĂN PHÒNG PHẨM ĐẠI PHÁT LỘC,"Số 157B, Ấp 3, Xã Tân Bửu, Huyện Bến Lức, Long An",08/05/2024,08/05/2024,Đang Hoạt Động,0817 997289,Nguyễn Thị Thanh Tâm,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 20/05/2024."
1102057014,CÔNG TY TNHH PEANUT VIETNAM,"85 Mai Thị Non, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",08/05/2024,08/05/2024,Đang Hoạt Động,0792203091,Nguyễn Ngọc Mỹ Trinh,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 17/06/2024."
1102056853,CÔNG TY TNHH ẮC QUY ĐẠI PHÁT,"85 Quốc Lộ 1A, Khu 1, Ấp Long Bình, Xã Long Hiệp, Huyện Bến Lức, Long An",07/05/2024,07/05/2024,Đang Hoạt Động,0962544227,Nguyễn Thị Kim Ngân,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 20/05/2024."
